race,t_pre,t_2026,delta,had_sc,n_sc_laps
62,5021.85245306389,5021.85245306389,0.0,False,0
63,5060.498870514871,5060.09887051487,0.4000000000005457,True,1
64,5021.85245306389,5021.85245306389,0.0,False,0
65,5021.85245306389,5021.85245306389,0.0,False,0
66,5021.85245306389,5021.85245306389,0.0,False,0
67,5021.85245306389,5021.85245306389,0.0,False,0
68,5119.883864288473,5119.083864288473,0.8000000000001819,True,2
69,5021.85245306389,5021.85245306389,0.0,False,0
70,5021.85245306389,5021.85245306389,0.0,False,0
71,5021.85245306389,5021.85245306389,0.0,False,0
72,5130.1263094850965,5129.326309485096,0.8000000000001819,True,2
73,5021.85245306389,5021.85245306389,0.0,False,0
74,5021.85245306389,5021.85245306389,0.0,False,0
75,5693.610522058237,5690.410522058238,3.1999999999989086,True,13
76,5021.85245306389,5021.85245306389,0.0,False,0
77,5177.841710845306,5176.641710845305,1.2000000000007276,True,3
78,5021.85245306389,5021.85245306389,0.0,False,0
79,5347.116530283745,5346.716530283745,0.4000000000005457,True,6
80,5021.85245306389,5021.85245306389,0.0,False,0
81,5124.703838498649,5123.903838498649,0.8000000000001819,True,2
82,5021.85245306389,5021.85245306389,0.0,False,0
83,5128.117986897523,5127.317986897524,0.7999999999992724,True,2
84,5075.719903119537,5075.319903119537,0.3999999999996362,True,1
85,5021.85245306389,5021.85245306389,0.0,False,0
86,5021.85245306389,5021.85245306389,0.0,False,0
87,5421.517160437188,5418.717160437188,2.800000000000182,True,8
88,5110.6940425305065,5109.894042530506,0.8000000000001819,True,2
89,5021.85245306389,5021.85245306389,0.0,False,0
90,5655.934476472281,5652.734476472281,3.199999999999818,True,12
91,5074.816157955129,5074.416157955129,0.3999999999996362,True,1
92,5021.85245306389,5021.85245306389,0.0,False,0
93,5219.470973836284,5217.870973836284,1.6000000000003638,True,4
94,5021.85245306389,5021.85245306389,0.0,False,0
95,5775.223022072604,5772.423022072604,2.800000000000182,True,15
96,5314.538766015201,5312.938766015201,1.6000000000003638,True,6
97,5618.012115449573,5616.412115449573,1.5999999999994543,True,12
98,5623.603412471481,5620.40341247148,3.2000000000007276,True,12
99,5021.85245306389,5021.85245306389,0.0,False,0
100,5021.85245306389,5021.85245306389,0.0,False,0
101,5021.85245306389,5021.85245306389,0.0,False,0
102,5021.85245306389,5021.85245306389,0.0,False,0
103,5238.547668558382,5237.7476685583815,0.8000000000001819,True,4
104,5021.85245306389,5021.85245306389,0.0,False,0
105,5125.3063352749205,5124.50633527492,0.8000000000001819,True,2
106,5073.811996661342,5073.4119966613425,0.3999999999996362,True,1
107,5161.93442109169,5160.73442109169,1.199999999999818,True,3
108,6126.2217399055835,6124.621739905583,1.6000000000003638,True,22
109,5021.85245306389,5021.85245306389,0.0,False,0
110,5021.85245306389,5021.85245306389,0.0,False,0
111,5021.85245306389,5021.85245306389,0.0,False,0
112,5109.327761055138,5108.527761055138,0.7999999999992724,True,2
113,5130.728806261368,5130.728806261368,0.0,True,2
114,5021.85245306389,5021.85245306389,0.0,False,0
115,5658.24404744799,5656.64404744799,1.6000000000003638,True,12
