race,t_adaptive,t_fixed
235,5021.85245306389,5021.85245306389
236,5021.85245306389,5021.85245306389
237,5021.85245306389,5021.85245306389
238,5721.094370009601,5722.294370009602
239,5160.3340184151975,5172.900856627717
240,5113.201018407243,5121.764058130391
241,5235.341010488323,5236.941010488323
242,5073.914077308235,5074.314077308236
243,5021.85245306389,5021.85245306389
244,5021.85245306389,5021.85245306389
245,5227.30772013803,5228.90772013803
246,5021.85245306389,5021.85245306389
247,5068.120701546844,5071.414590275783
248,5021.85245306389,5021.85245306389
249,5492.23001770854,5494.23001770854
250,5315.408957315129,5321.3952875556415
251,5232.529358865721,5234.129358865721
252,5075.119070860779,5075.51907086078
253,5021.85245306389,5021.85245306389
254,5021.85245306389,5021.85245306389
255,5021.85245306389,5021.85245306389
256,5260.784529365212,5262.384529365212
257,5021.85245306389,5021.85245306389
258,5021.85245306389,5021.85245306389
259,5420.000353680249,5436.939851730809
260,5509.794517762232,5509.794517762232
261,5119.686361064745,5120.35823231909
262,5514.812155641754,5530.812155641754
263,5127.920483673795,5128.720483673796
264,5021.85245306389,5021.85245306389
265,5021.85245306389,5021.85245306389
266,5021.85245306389,5021.85245306389
267,5021.85245306389,5021.85245306389
268,5021.85245306389,5021.85245306389
269,5803.517551642729,5805.117551642729
270,5124.9079997924355,5125.707999792435
271,5021.85245306389,5021.85245306389
272,5021.85245306389,5021.85245306389
273,5619.541271709395,5632.990153198705
274,5124.104670757406,5124.904670757406
275,5389.664037509021,5391.264037509021
276,5447.20376560468,5448.80376560468
277,5463.9361574393015,5476.373197491743
278,5021.85245306389,5021.85245306389
279,5520.400211591134,5538.239959720931
280,5021.85245306389,5021.85245306389
281,5021.85245306389,5021.85245306389
282,5260.736237823664,5274.523961669158
283,5021.85245306389,5021.85245306389
284,5522.471764580877,5524.471764580877
285,5021.85245306389,5021.85245306389
286,5127.317986897524,5128.117986897523
287,5021.85245306389,5021.85245306389
288,5021.85245306389,5021.85245306389
289,5021.85245306389,5021.85245306389
290,5184.370423772432,5184.770423772433
291,5231.726029830691,5233.326029830691
292,5021.85245306389,5021.85245306389
293,5021.85245306389,5021.85245306389
294,5072.80949988507,5073.209499885071
295,5163.577000722683,5171.695863075173
296,5281.826418010163,5283.826418010163
297,5285.941814797175,5287.541814797173
298,5021.85245306389,5021.85245306389
299,5021.85245306389,5021.85245306389
300,5264.680970176627,5271.511477787798
301,5021.85245306389,5021.85245306389
302,5290.555963196048,5290.955963196048
303,5365.885988530912,5379.821794030898
304,5413.87164075312,5415.61113880368
305,5212.67621267393,5223.956655060762
306,5021.85245306389,5021.85245306389
307,5779.8977235713455,5781.497723571344
308,5257.343919474903,5259.343919474903
309,5021.85245306389,5021.85245306389
310,5057.953457947941,5072.719999957705
311,5021.85245306389,5021.85245306389
312,5021.85245306389,5021.85245306389
313,5636.73643134605,5639.936431346049
314,5821.65743662771,5838.05743662771
315,5073.914077308235,5074.314077308236
316,5548.740584224588,5551.140584224586
317,5021.85245306389,5021.85245306389
318,5071.504293871035,5071.213758017025
319,5210.700935151547,5212.3009351515475
320,5021.85245306389,5021.85245306389
321,5576.121861832445,5577.721861832445
322,5070.499928909361,5070.81209349951
323,5021.85245306389,5021.85245306389
324,5226.504391103001,5228.104391103001
325,5771.4262230268705,5773.026223026871
326,5416.144189543809,5431.478588324385
327,5021.85245306389,5021.85245306389
328,5074.315741825751,5074.71574182575
329,5605.985945756759,5607.585945756759
330,5021.85245306389,5021.85245306389
331,5168.948914406016,5170.189621134493
332,5177.84670439785,5179.046704397849
333,6052.758238154776,6055.558238154777
334,6199.648835033847,6201.648835033847
335,5021.85245306389,5021.85245306389
336,5130.728806261368,5130.728806261368
337,5235.341010488323,5236.941010488323
338,5065.222282822997,5071.61542253454
339,5171.319655988237,5172.317775916544
340,5021.85245306389,5021.85245306389
341,5021.85245306389,5021.85245306389
342,5058.208667626313,5058.608667626313
343,5112.19233433793,5121.964890389149
344,5487.116737909541,5500.675473792282
345,5180.156275373557,5181.35627537356
